months,ICO composite indicator,Colombian Milds,Other Milds,Brazilian Naturals,Robustas
12/1999,2.1108167770419426,0.9874172185430461,0.6366445916114785,0.30573951434878577,-0.6364238410596026
01/2000,1.813245033112583,1.0593818984547456,0.6395143487858717,0.34304635761589375,-0.6392935982339958
02/2000,1.6810154525386314,1.0724061810154528,0.60242825607064,0.339072847682119,-0.6024282560706404
03/2000,1.622295805739514,1.0158940397350995,0.6013245033112584,0.36291390728476847,-0.601324503311258
04/2000,1.534878587196468,0.9523178807947017,0.5536423841059601,0.3737306843267103,-0.5536423841059605
05/2000,1.5282560706401764,0.9068432671081676,0.5501103752759378,0.3973509933774835,-0.5498896247240617
06/2000,1.4251655629139073,0.7889624724061806,0.48300220750551826,0.30375275938189783,-0.4830022075055189
07/2000,1.4145695364238409,0.8298013245033113,0.5136865342163355,0.34900662251655623,-0.513465783664459
08/2000,1.271081677704194,0.7569536423841063,0.4267108167770419,0.2867549668874172,-0.4267108167770418
09/2000,1.2649006622516554,0.7214128035320089,0.40794701986754967,0.30551876379690945,-0.40772626931567324
10/2000,1.244812362030905,0.7474613686534213,0.44724061810154514,0.3507726269315674,-0.44701986754966894
11/2000,1.1516556291390727,0.7028697571743929,0.4275938189845476,0.37041942604856537,-0.427373068432671
12/2000,1.0655629139072846,0.6079470198675498,0.39470198675496704,0.35584988962472397,-0.39492273730684324
01/2001,1.0858719646799115,0.5770419426048565,0.3706401766004417,0.2911699779249448,-0.37064017660044146
02/2001,1.0900662251655628,0.6030905077262694,0.3931567328918322,0.28962472406181017,-0.39293598233995586
03/2001,1.0708609271523175,0.6275938189845476,0.3971302428256074,0.26136865342163373,-0.3971302428256067
04/2001,1.0443708609271525,0.6830022075055184,0.4154525386313461,0.17218543046357593,-0.4154525386313468
05/2001,1.0900662251655628,0.6962472406181015,0.43796909492273706,0.17240618101545246,-0.43774834437086085
06/2001,1.0271523178807946,0.6147902869757171,0.38344370860927146,0.11766004415011033,-0.38344370860927157
07/2001,0.9507726269315672,0.5878587196467991,0.3454746136865342,0.07417218543046367,-0.3454746136865341
08/2001,0.9439293598233994,0.6785871964679911,0.3741721854304637,0.08233995584988973,-0.3741721854304635
09/2001,0.9088300220750553,0.6099337748344368,0.37284768211920516,0.02759381898454738,-0.3730684326710818
10/2001,0.9317880794701986,0.45607064017660026,0.3132450331125828,-0.07902869757174391,-0.4189845474613686
11/2001,0.9766004415011036,0.45584988962472406,0.32251655629139075,-0.03134657836644583,-0.4540838852097129
12/2001,0.956953642384106,0.4189845474613686,0.29514348785871947,-0.02516556291390737,-0.4178807947019868
01/2002,0.959381898454746,0.4205298013245031,0.3264900662251655,-0.007064017660043942,-0.45584988962472395
02/2002,0.977924944812362,0.40551876379690965,0.32693156732891826,-0.024944812362030833,-0.4399558498896248
03/2002,1.092494481236203,0.41456953642384087,0.3306843267108168,-0.01743929359823393,-0.4509933774834437
04/2002,1.108167770419426,0.4289183222958055,0.33311258278145717,-0.015011037527594029,-0.46114790286975715
05/2002,1.0441501103752755,0.41169977924944856,0.3112582781456956,-0.042163355408388226,-0.4192052980132447
06/2002,1.0057395143487855,0.383664459161148,0.2869757174392942,-0.05651214128035287,-0.37836644591611446
07/2002,0.9867549668874172,0.3509933774834437,0.2600441501103752,-0.030905077262693204,-0.35540838852097123
08/2002,0.9445916114790286,0.3379690949227373,0.25342163355408387,-0.057615894039735105,-0.32913907284768207
09/2002,1.058719646799117,0.3573951434878586,0.2803532008830021,-0.07571743929359809,-0.350551876379691
10/2002,1.1211920529801322,0.3781456953642386,0.32980132450331134,-0.10397350993377485,-0.38565121412803516
11/2002,1.207064017660044,0.3536423841059604,0.33532008830022075,-0.11986754966887392,-0.37064017660044146
12/2002,1.1410596026490063,0.30220750551876385,0.2752759381898455,-0.11346578366445903,-0.3008830022075052
01/2003,1.1929359823399557,0.2920529801324503,0.254525386313466,-0.10441501103752748,-0.2838852097130241
02/2003,1.1935982339955848,0.29580573951434874,0.27240618101545255,-0.11258278145695355,-0.29580573951434874
03/2003,1.0951434878587196,0.27682119205297995,0.26799116997792494,-0.12891832229580558,-0.27461368653421636
04/2003,1.1450331125827813,0.27660044150110386,0.28300220750551874,-0.07328918322295808,-0.3189845474613685
05/2003,1.1741721854304634,0.27682119205298017,0.2885209713024284,-0.045695364238410585,-0.33973509933774837
06/2003,1.0794701986754969,0.2805739514348782,0.2679911699779247,-0.04459161147902879,-0.32428256070640205
07/2003,1.123399558498896,0.30883002207505506,0.266225165562914,-0.03068432671081678,-0.34304635761589386
08/2003,1.1527593818984545,0.29646799116997813,0.2576158940397353,0.005739514348785946,-0.35143487858719635
09/2003,1.194260485651214,0.2969094922737303,0.2717439293598234,0.016777041942604765,-0.3697571743929359
10/2003,1.1417218543046357,0.3189845474613686,0.27748344370860933,0.024061810154525354,-0.3496688741721854
11/2003,1.0993377483443707,0.3220750551876379,0.2752759381898455,0.020529801324503216,-0.3463576158940397
12/2003,1.157615894039735,0.31434878587196513,0.273951434878587,0.05187637969094894,-0.36512141280353194
01/2004,1.295364238410596,0.3328918322295804,0.3101545253863136,0.0746136865342164,-0.4158940397350992
02/2004,1.321633554083885,0.3677704194260485,0.3604856512141281,0.12472406181015439,-0.5037527593818985
03/2004,1.3421633554083885,0.37902869757174384,0.38101545253863134,0.13620309050772583,-0.532008830022075
04/2004,1.2980132450331123,0.3624724061810156,0.36732891832229586,0.10816777041942616,-0.49514348785871953
05/2004,1.3225165562913903,0.3810154525386318,0.3770419426048566,0.1158940397350996,-0.5154525386313462
06/2004,1.4189845474613685,0.40242825607064026,0.3958057395143486,0.11766004415011033,-0.5388520971302428
07/2004,1.2905077262693156,0.39006622516556266,0.3637969094922735,0.09779249448123606,-0.49536423841059596
08/2004,1.2578366445916114,0.4055187637969093,0.3671081677704193,0.10529801324503318,-0.509271523178808
09/2004,1.3569536423841058,0.43156732891832217,0.41942604856512133,0.1640176600441503,-0.6011037527593818
10/2004,1.34878587196468,0.4838852097130242,0.4293598233995586,0.19448123620309032,-0.6496688741721854
